date_of_interest,bk_case_count,bk_probable_case_count,bk_hospitalized_count,bk_death_count,bk_case_count_7day_avg,bk_probable_case_count_7day_avg,bk_all_case_count_7day_avg,bk_hospitalized_count_7day_avg,bk_death_count_7day_avg
2020-03-04,1,0,1,0,0,0,0,0,0
2020-03-05,3,0,3,0,0,0,0,0,0
2020-03-06,1,0,1,0,1,0,1,2,0
2020-03-07,2,0,3,0,1,0,1,2,0
2020-03-08,5,0,8,0,2,0,2,3,0
2020-03-09,16,0,11,0,4,0,4,4,0
2020-03-10,11,0,13,0,6,0,6,6,0
2020-03-11,31,0,11,0,10,0,10,7,0
2020-03-12,96,0,33,0,23,0,23,11,0
2020-03-13,166,0,44,0,47,0,47,18,0
2020-03-14,163,0,40,1,70,0,70,23,0
2020-03-15,432,0,53,0,131,0,131,29,0
2020-03-16,740,1,92,2,234,0,234,41,0
2020-03-17,783,3,98,7,344,1,345,53,1
2020-03-18,965,3,123,8,478,1,479,69,3
2020-03-19,1204,0,157,6,636,1,637,87,3
2020-03-20,1136,0,220,10,775,1,776,112,5
2020-03-21,554,2,182,14,831,1,832,132,7
2020-03-22,755,1,206,10,877,1,878,154,8
2020-03-23,909,1,294,28,901,1,902,183,12
2020-03-24,1212,5,359,28,962,2,964,220,15
2020-03-25,1255,7,422,44,1004,2,1006,263,20
2020-03-26,1372,10,487,60,1028,4,1031,310,28
2020-03-27,1425,12,472,87,1069,5,1074,346,39
2020-03-28,863,15,395,92,1113,7,1120,376,50
2020-03-29,1149,21,463,110,1169,10,1179,413,64
2020-03-30,1754,27,555,133,1290,14,1304,450,79
2020-03-31,1512,28,544,156,1333,17,1350,477,97
2020-04-01,1590,34,515,169,1381,21,1402,490,115
2020-04-02,1610,52,444,222,1415,27,1442,484,138
2020-04-03,1440,66,449,209,1417,35,1452,481,156
2020-04-04,920,67,375,233,1425,42,1467,478,176
2020-04-05,1144,59,401,224,1424,48,1472,469,192
2020-04-06,1461,92,471,261,1382,57,1439,457,211
2020-04-07,1397,84,464,264,1366,65,1431,446,226
2020-04-08,1305,79,455,250,1325,71,1397,437,238
2020-04-09,1369,73,414,262,1291,74,1365,433,243
2020-04-10,1145,63,327,241,1249,74,1323,415,248
2020-04-11,1131,59,296,219,1279,73,1352,404,246
2020-04-12,703,65,254,267,1216,74,1289,383,252
2020-04-13,1066,91,325,249,1159,73,1233,362,250
2020-04-14,1038,49,261,200,1108,68,1177,333,241
2020-04-15,882,31,243,164,1048,62,1109,303,229
2020-04-16,885,44,228,169,979,57,1036,276,216
2020-04-17,962,39,230,157,952,54,1006,262,204
2020-04-18,575,36,155,152,873,51,924,242,194
2020-04-19,635,25,124,141,863,45,908,224,176
2020-04-20,983,31,187,126,851,36,888,204,158
2020-04-21,896,31,160,123,831,34,865,190,147
2020-04-22,854,23,139,130,827,33,860,175,143
