date_of_interest,mn_case_count,mn_probable_case_count,mn_hospitalized_count,mn_death_count,mn_case_count_7day_avg,mn_probable_case_count_7day_avg,mn_all_case_count_7day_avg,mn_hospitalized_count_7day_avg,mn_death_count_7day_avg
2020-02-29,1,0,0,0,0,0,0,0,0
2020-03-04,2,0,1,0,0,0,0,0,0
2020-03-06,3,0,3,0,1,0,1,1,0
2020-03-07,1,0,0,0,1,0,1,1,0
2020-03-08,6,0,1,0,2,0,2,2,0
2020-03-09,24,0,9,0,5,0,5,3,0
2020-03-10,24,0,12,0,9,0,9,4,0
2020-03-11,62,0,19,0,17,0,17,7,0
2020-03-12,137,0,16,0,37,0,37,9,0
2020-03-13,182,0,31,0,62,0,62,13,0
2020-03-14,176,1,36,1,87,0,87,18,0
2020-03-15,205,0,33,2,116,0,116,22,0
2020-03-16,457,0,45,0,178,0,178,27,0
2020-03-17,567,0,76,0,255,0,255,37,0
2020-03-18,538,1,87,5,323,0,323,46,1
2020-03-19,555,1,105,4,383,0,383,59,2
2020-03-20,653,1,112,12,450,1,451,71,3
2020-03-21,399,1,117,6,482,1,483,82,4
2020-03-22,317,2,131,9,498,1,499,96,5
2020-03-23,530,4,185,10,508,1,510,116,7
2020-03-24,619,2,204,19,516,2,518,134,9
2020-03-25,586,4,200,24,523,2,525,151,12
2020-03-26,625,5,225,33,533,3,535,168,16
2020-03-27,656,6,222,47,533,3,537,183,21
2020-03-28,388,6,186,34,532,4,536,193,25
2020-03-29,407,11,158,46,544,5,550,197,30
2020-03-30,802,18,272,52,583,7,591,210,36
2020-03-31,616,12,221,54,583,9,592,212,41
2020-04-01,573,15,217,74,581,10,591,214,49
2020-04-02,652,14,242,76,585,12,597,217,55
2020-04-03,671,22,255,73,587,14,601,222,58
2020-04-04,385,27,198,89,587,17,604,223,66
2020-04-05,356,23,190,109,579,19,598,228,75
2020-04-06,721,33,261,102,568,21,589,226,82
2020-04-07,605,30,194,122,566,23,590,222,92
2020-04-08,546,24,172,90,562,25,587,216,94
2020-04-09,558,30,189,95,549,27,576,208,97
2020-04-10,495,26,176,95,524,28,551,197,100
2020-04-11,304,20,131,80,512,27,539,188,99
2020-04-12,252,26,128,88,497,27,524,179,96
2020-04-13,393,17,169,88,450,25,475,166,94
2020-04-14,440,20,139,79,427,23,450,158,88
2020-04-15,429,22,129,78,410,23,433,152,86
2020-04-16,355,15,104,69,381,21,402,139,82
2020-04-17,330,10,106,51,358,19,376,129,76
2020-04-18,187,15,83,72,341,18,359,123,75
2020-04-19,176,18,69,67,330,17,347,114,72
2020-04-20,381,12,95,62,328,16,344,104,68
2020-04-21,371,13,90,60,318,15,333,97,66
2020-04-22,382,18,90,55,312,14,326,91,62
2020-04-23,400,10,55,57,318,14,332,84,61
2020-04-24,408,9,80,56,329,14,343,80,61
2020-04-25,145,6,42,46,323,12,336,74,58
2020-04-26,98,13,41,47,312,12,324,70,55
2020-04-27,302,5,61,35,301,11,311,66,51
2020-04-28,323,5,56,40,294,9,303,61,48
2020-04-29,285,5,43,37,280,8,288,54,45
2020-04-30,217,3,31,38,254,7,261,51,43
2020-05-01,240,6,33,30,230,6,236,44,39
2020-05-02,138,5,23,27,229,6,235,41,36
2020-05-03,103,3,33,38,230,5,234,40,35
2020-05-04,214,11,38,30,217,5,223,37,34
2020-05-05,242,2,25,20,206,5,211,32,31
2020-05-06,165,3,27,20,188,5,193,30,29
2020-05-07,119,2,18,25,174,5,179,28,27
2020-05-08,99,6,20,18,154,5,159,26,25
2020-05-09,75,4,12,18,145,4,150,25,24
2020-05-10,95,2,22,21,144,4,148,23,22
2020-05-11,192,3,23,17,141,3,144,21,20
2020-05-12,163,3,13,17,130,3,133,19,19
2020-05-13,156,2,18,10,128,3,132,18,18
2020-05-14,149,6,23,22,133,4,136,19,18
2020-05-15,135,5,22,16,138,4,141,19,17
2020-05-16,51,2,11,12,134,3,138,19,16
2020-05-17,50,1,7,12,128,3,131,17,15
2020-05-18,128,2,23,9,119,3,122,17,14
2020-05-19,165,0,19,10,119,3,122,18,13
2020-05-20,164,1,11,13,120,2,123,17,13
2020-05-21,145,0,9,6,120,2,121,15,11
2020-05-22,153,1,14,6,122,1,123,13,10
2020-05-23,47,1,9,8,122,1,123,13,9
2020-05-24,69,2,21,7,124,1,125,15,8
2020-05-25,69,1,11,13,116,1,117,13,9
2020-05-26,127,2,9,8,111,1,112,12,9
2020-05-27,107,2,11,10,102,1,104,12,8
2020-05-28,97,0,11,3,96,1,97,12,8
2020-05-29,74,1,11,6,84,1,86,12,8
2020-05-30,38,2,6,14,83,1,84,11,9
2020-05-31,25,1,9,5,77,1,78,10,8
2020-06-01,77,2,13,4,78,1,79,10,7
2020-06-02,72,1,9,8,70,1,71,10,7
2020-06-03,75,0,7,7,65,1,66,9,7
2020-06-04,86,0,10,8,64,1,65,9,7
2020-06-05,52,0,8,7,61,1,62,9,8
2020-06-06,33,2,6,1,60,1,61,9,6
2020-06-07,24,2,9,1,60,1,61,9,5
2020-06-08,75,6,9,3,60,2,61,8,5
2020-06-09,66,0,11,7,59,1,60,9,5
2020-06-10,67,1,14,1,58,2,59,10,4
2020-06-11,54,5,8,3,53,2,55,9,3
2020-06-12,58,3,5,4,54,3,57,9,3
2020-06-13,23,1,5,3,52,3,55,9,3
2020-06-14,28,1,5,2,53,2,55,8,3
2020-06-15,55,4,5,3,50,2,52,8,3
2020-06-16,67,1,6,2,50,2,53,7,3
2020-06-17,65,5,6,3,50,3,53,6,3
2020-06-18,58,0,6,4,51,2,53,5,3
2020-06-19,56,1,2,4,50,2,52,5,3
2020-06-20,44,2,3,2,53,2,55,5,3
2020-06-21,25,1,7,3,53,2,55,5,3
2020-06-22,63,3,8,1,54,2,56,5,3
2020-06-23,76,5,5,6,55,2,58,5,3
2020-06-24,73,0,7,2,56,2,58,5,3
2020-06-25,46,0,5,2,55,2,56,5,3
