date_of_interest,qn_case_count,qn_probable_case_count,qn_hospitalized_count,qn_death_count,qn_case_count_7day_avg,qn_probable_case_count_7day_avg,qn_all_case_count_7day_avg,qn_hospitalized_count_7day_avg,qn_death_count_7day_avg
2020-03-03,1,0,2,0,0,0,0,0,0
2020-03-04,2,0,0,0,0,0,0,0,0
2020-03-06,1,0,2,0,1,0,1,1,0
2020-03-07,3,0,4,0,1,0,1,2,0
2020-03-08,6,0,4,0,2,0,2,2,0
2020-03-09,10,0,8,0,3,0,3,3,0
2020-03-10,24,0,23,0,7,0,7,6,0
2020-03-11,40,0,23,1,12,0,12,10,0
2020-03-12,80,0,35,0,23,0,23,14,0
2020-03-13,166,0,49,0,47,0,47,21,0
2020-03-14,194,0,72,1,74,0,74,31,0
2020-03-15,231,0,67,1,106,0,106,40,0
2020-03-16,528,1,114,4,180,0,181,55,1
2020-03-17,650,0,128,3,270,0,270,70,1
2020-03-18,835,0,152,9,383,0,384,88,3
2020-03-19,1065,0,208,6,524,0,524,113,3
2020-03-20,1185,1,247,10,670,0,670,141,5
2020-03-21,947,0,244,14,777,0,778,166,7
2020-03-22,696,0,229,14,844,0,844,189,9
2020-03-23,1192,8,390,36,939,1,940,228,13
2020-03-24,1389,5,420,40,1044,2,1046,270,18
2020-03-25,1570,3,447,36,1149,2,1152,312,22
2020-03-26,1644,19,451,79,1232,5,1237,347,33
2020-03-27,1576,17,513,74,1288,7,1295,385,42
2020-03-28,1201,17,451,109,1324,10,1334,414,55
2020-03-29,1075,21,504,115,1378,13,1391,454,70
2020-03-30,1859,27,609,125,1473,16,1489,485,83
2020-03-31,1811,30,592,126,1534,19,1553,510,95
2020-04-01,1781,38,579,182,1564,24,1588,528,116
2020-04-02,1826,60,570,200,1590,30,1620,545,133
2020-04-03,1762,51,559,210,1616,35,1651,552,152
2020-04-04,1203,62,521,220,1617,41,1658,562,168
2020-04-05,1136,58,437,239,1625,47,1672,552,186
2020-04-06,1927,65,547,267,1635,52,1687,544,206
2020-04-07,1949,64,532,248,1655,57,1712,535,224
2020-04-08,1857,64,514,247,1666,61,1726,526,233
2020-04-09,1560,57,426,229,1628,60,1688,505,237
2020-04-10,1342,68,437,223,1568,63,1630,488,239
2020-04-11,987,61,329,225,1537,62,1599,460,240
2020-04-12,916,45,298,219,1505,61,1566,440,237
2020-04-13,974,50,342,242,1369,58,1428,411,233
2020-04-14,1300,41,336,202,1277,55,1332,383,227
2020-04-15,1180,29,262,177,1180,50,1230,347,217
2020-04-16,1139,46,236,179,1120,49,1168,320,210
2020-04-17,1099,29,252,151,1085,43,1128,294,199
2020-04-18,705,42,184,178,1045,40,1085,273,193
2020-04-19,866,23,173,157,1038,37,1075,255,184
2020-04-20,1223,30,186,154,1073,34,1107,233,171
2020-04-21,937,34,172,137,1021,33,1055,209,162
2020-04-22,1109,24,154,110,1011,33,1044,194,152
2020-04-23,793,30,136,136,962,30,992,180,146
2020-04-24,775,19,138,117,915,29,944,163,141
2020-04-25,540,23,89,105,892,26,918,150,131
2020-04-26,331,7,100,96,815,24,839,139,122
2020-04-27,723,15,107,106,744,22,766,128,115
2020-04-28,896,8,106,81,738,18,756,119,107
2020-04-29,691,10,87,90,678,16,694,109,104
2020-04-30,592,8,79,75,650,13,663,101,96
2020-05-01,621,12,81,89,628,12,640,93,92
2020-05-02,333,8,64,69,598,10,608,89,87
2020-05-03,251,11,69,66,587,10,597,85,82
2020-05-04,437,4,59,59,546,9,555,78,76
2020-05-05,462,6,49,52,484,8,492,70,71
2020-05-06,443,4,54,63,448,8,456,65,68
2020-05-07,358,2,50,42,415,7,422,61,63
2020-05-08,344,7,42,55,375,6,381,55,58
2020-05-09,256,0,33,33,364,5,369,51,53
2020-05-10,85,1,18,38,341,3,344,44,49
2020-05-11,376,1,58,28,332,3,335,43,44
2020-05-12,314,5,26,23,311,3,314,40,40
2020-05-13,307,2,27,32,291,3,294,36,36
2020-05-14,332,3,44,26,288,3,290,35,34
2020-05-15,265,1,31,28,276,2,278,34,30
2020-05-16,136,5,30,26,259,3,262,33,29
2020-05-17,106,5,27,30,262,3,265,35,28
2020-05-18,275,3,33,25,248,3,251,31,27
2020-05-19,287,2,25,14,244,3,247,31,26
2020-05-20,256,3,15,27,237,3,240,29,25
2020-05-21,311,0,19,9,234,3,236,26,23
2020-05-22,237,2,26,29,230,3,233,25,23
2020-05-23,138,1,21,15,230,2,232,24,21
2020-05-24,121,2,19,15,232,2,234,23,19
2020-05-25,116,3,20,14,209,2,211,21,18
2020-05-26,269,2,21,9,207,2,209,20,17
2020-05-27,165,0,24,18,194,1,195,21,16
2020-05-28,181,2,21,10,175,2,177,22,16
2020-05-29,212,1,28,14,172,2,173,22,14
2020-05-30,110,2,14,17,168,2,169,21,14
2020-05-31,79,2,21,16,162,2,163,21,14
2020-06-01,158,1,15,16,168,1,169,21,14
2020-06-02,163,4,14,18,153,2,154,20,16
2020-06-03,148,0,19,9,150,2,152,19,14
2020-06-04,148,2,21,10,145,2,147,19,14
2020-06-05,103,6,18,5,130,2,132,17,13
2020-06-06,99,1,14,11,128,2,131,17,12
2020-06-07,74,6,10,12,128,3,130,16,12
2020-06-08,146,6,20,15,126,4,129,17,11
2020-06-09,131,5,13,10,121,4,125,16,10
2020-06-10,108,4,17,10,116,4,120,16,10
2020-06-11,114,3,15,8,111,4,115,15,10
2020-06-12,131,4,10,10,115,4,119,14,11
2020-06-13,74,4,14,2,111,5,116,14,10
2020-06-14,68,3,16,5,110,4,114,15,9
2020-06-15,123,7,11,5,107,4,111,14,7
2020-06-16,120,11,19,9,105,5,111,15,7
2020-06-17,92,3,17,9,103,5,108,15,7
2020-06-18,123,1,24,5,104,5,109,16,6
2020-06-19,123,12,8,4,103,6,109,16,6
2020-06-20,54,4,8,6,100,6,106,15,6
2020-06-21,58,2,13,7,99,6,105,14,6
2020-06-22,119,3,10,8,98,5,104,14,7
2020-06-23,121,1,13,4,99,4,102,13,6
