date_of_interest,bx_case_count,bx_probable_case_count,bx_hospitalized_count,bx_death_count,bx_case_count_7day_avg,bx_probable_case_count_7day_avg,bx_all_case_count_7day_avg,bx_hospitalized_count_7day_avg,bx_death_count_7day_avg
2020-03-06,2,0,1,0,0,0,0,1,0
2020-03-08,3,0,5,0,1,0,1,1,0
2020-03-09,4,0,7,0,1,0,1,2,0
2020-03-10,8,0,7,0,2,0,2,3,0
2020-03-11,19,0,23,0,5,0,5,6,0
2020-03-12,29,0,19,0,9,0,9,9,0
2020-03-13,79,0,26,0,20,0,20,13,0
2020-03-14,86,0,22,0,33,0,33,16,0
2020-03-15,119,0,37,1,49,0,49,20,0
2020-03-16,305,0,72,3,92,0,92,29,1
2020-03-17,343,0,60,1,140,0,140,37,1
2020-03-18,482,1,110,2,206,0,206,49,1
2020-03-19,623,3,135,7,291,1,292,66,2
2020-03-20,723,0,126,13,383,1,384,80,4
2020-03-21,491,2,158,14,441,1,442,100,6
2020-03-22,495,0,173,12,495,1,495,119,7
2020-03-23,730,2,219,14,555,1,556,140,9
2020-03-24,927,0,270,14,639,1,640,170,11
2020-03-25,1068,4,313,35,722,2,724,199,16
2020-03-26,998,8,316,45,776,2,778,225,21
2020-03-27,1090,11,314,47,828,4,832,252,26
2020-03-28,761,12,312,74,867,5,872,274,34
2020-03-29,699,10,320,65,896,7,903,295,42
2020-03-30,1315,20,350,94,980,9,989,314,53
2020-03-31,1282,18,390,117,1030,12,1042,331,68
2020-04-01,1240,19,374,112,1055,14,1069,339,79
2020-04-02,1289,45,354,142,1097,19,1116,345,93
2020-04-03,1452,36,381,151,1148,23,1171,354,108
2020-04-04,1012,44,312,150,1184,27,1212,354,119
2020-04-05,822,34,306,158,1202,31,1233,352,132
2020-04-06,1514,42,388,154,1230,34,1264,358,141
2020-04-07,1463,46,331,161,1256,38,1294,349,147
2020-04-08,1304,38,356,152,1265,41,1306,347,153
2020-04-09,1285,39,271,147,1265,40,1304,335,153
2020-04-10,1227,43,293,159,1232,41,1273,322,154
2020-04-11,998,41,245,173,1230,40,1271,313,158
2020-04-12,763,37,227,147,1222,41,1263,302,156
2020-04-13,693,33,262,156,1105,40,1144,284,156
2020-04-14,1076,39,202,150,1049,39,1088,265,155
2020-04-15,1068,33,201,128,1016,38,1054,243,151
2020-04-16,940,35,172,121,966,37,1004,229,148
2020-04-17,916,23,169,111,922,34,956,211,141
2020-04-18,552,24,133,86,858,32,890,195,128
