date_of_interest,si_case_count,si_probable_case_count,si_hospitalized_count,si_death_count,si_case_count_7day_avg,si_probable_case_count_7day_avg,si_all_case_count_7day_avg,si_hospitalized_count_7day_avg,si_death_count_7day_avg
2020-03-06,1,0,1,0,0,0,0,0,0
2020-03-07,1,0,0,0,0,0,0,0,0
2020-03-08,1,0,0,0,0,0,0,0,0
2020-03-09,3,0,2,0,1,0,1,1,0
2020-03-10,2,0,5,0,1,0,1,1,0
2020-03-11,3,0,2,0,2,0,2,2,0
2020-03-12,13,0,3,0,3,0,3,2,0
2020-03-13,26,0,2,0,7,0,7,2,0
2020-03-14,23,0,7,0,10,0,10,3,0
2020-03-15,47,0,20,0,17,0,17,6,0
2020-03-16,91,0,15,0,29,0,29,8,0
2020-03-17,108,1,23,1,44,0,45,10,0
2020-03-18,150,0,22,0,65,0,66,13,0
2020-03-19,258,0,26,4,100,0,101,16,1
2020-03-20,310,1,33,4,141,0,141,21,1
2020-03-21,248,2,33,3,173,1,174,25,2
2020-03-22,317,1,34,7,212,1,212,27,3
2020-03-23,209,0,43,8,229,1,229,31,4
2020-03-24,350,0,48,6,263,1,264,34,5
2020-03-25,394,0,52,4,298,1,299,38,5
2020-03-26,405,2,56,12,319,1,320,43,6
2020-03-27,372,0,64,7,328,1,329,47,7
2020-03-28,265,1,50,14,330,1,331,50,8
2020-03-29,230,3,64,20,318,1,319,54,10
2020-03-30,398,0,72,10,345,1,346,58,10
2020-03-31,237,1,69,23,329,1,330,61,13
2020-04-01,264,3,83,19,310,1,312,65,15
2020-04-02,369,8,74,36,305,2,307,68,18
2020-04-03,345,4,68,33,301,3,304,69,22
2020-04-04,345,3,54,23,313,3,316,69,23
2020-04-05,323,6,72,28,326,4,329,70,25
2020-04-06,730,8,83,32,373,5,378,72,28
2020-04-07,630,9,69,36,429,6,435,72,30
2020-04-08,562,9,62,43,472,7,479,69,33
2020-04-09,298,9,53,34,462,7,469,66,33
2020-04-10,301,5,60,24,456,7,463,65,31
2020-04-11,311,5,47,33,451,7,458,64,33
2020-04-12,253,7,44,33,441,7,448,60,34
2020-04-13,185,8,58,33,363,7,370,56,34
2020-04-14,290,4,46,28,314,7,321,53,33
2020-04-15,317,7,31,31,279,6,286,48,31
2020-04-16,211,3,42,17,267,6,272,47,28
2020-04-17,279,4,32,19,264,5,269,43,28
2020-04-18,153,6,29,25,241,6,247,40,27
2020-04-19,134,8,28,27,224,6,230,38,26
2020-04-20,224,5,32,22,230,5,235,34,24
2020-04-21,216,5,24,16,219,5,225,31,22
2020-04-22,173,4,17,18,199,5,204,29,21
2020-04-23,127,4,22,17,187,5,192,26,21
2020-04-24,143,3,29,17,167,5,172,26,20
2020-04-25,88,2,23,11,158,4,162,25,18
2020-04-26,46,3,17,10,145,4,149,23,16
2020-04-27,107,3,20,12,129,3,132,22,14
2020-04-28,130,2,14,10,116,3,119,20,14
2020-04-29,123,2,13,16,109,3,112,20,13
2020-04-30,130,1,12,12,110,2,112,18,13
2020-05-01,78,6,13,14,100,3,103,16,12
2020-05-02,61,1,18,13,96,3,99,15,12
2020-05-03,35,1,13,16,95,2,97,15,13
2020-05-04,88,4,14,12,92,2,95,14,13
2020-05-05,82,0,11,12,85,2,87,13,14
2020-05-06,60,0,14,8,76,2,78,14,12
2020-05-07,60,2,13,6,66,2,68,14,12
2020-05-08,42,0,11,5,61,1,62,13,10
2020-05-09,32,0,9,3,57,1,58,12,9
2020-05-10,14,0,5,8,54,1,55,11,8
2020-05-11,27,1,4,4,45,0,46,10,7
2020-05-12,53,0,10,6,41,0,42,9,6
2020-05-13,47,0,12,6,39,0,40,9,5
2020-05-14,42,2,11,8,37,0,37,9,6
